1a_absence_3term_school,t_1a_absence_3term_sch_d1b51341e3
1_absence_3term_nat_reg_la,t_1_absence_3term_nat__2642eb995e
2022-2023_england_ks4final,t_2022_2023_england_ks_28199246f1
202324_la_char_data_revised,t_202324_la_char_data__34c2fcb1b7
202324_performance_tables_schools_final,t_202324_performance_t_371eb4e56c
202324_subject_pupil_level_la_data_revised,t_202324_subject_pupil_2ab324f688
202324_subject_school_all_exam_entriesgrades_final,t_202324_subject_schoo_84751f4769
202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_provisional_v1.0.1,t_202425_all_state_fun_eadbd21823
202425_performance_tables_schools_provisional_v1.0.1,t_202425_performance_t_7d6e7188b9
202425_subject_local_authority_pupil_entriesachievements_provisional_v1.0.1,t_202425_subject_local_a577f17f4e
202425_subject_school_all_exam_entriesgrades_provisional_v1.0.1,t_202425_subject_schoo_ff1f246d1c
2026-01-13_off_sen_primary_sim_sch_grps,t_2026_01_13_off_sen_p_da7ffb33e2
2026-01-13_off_sen_primary_sim_sch_var_vals,t_2026_01_13_off_sen_p_e0ebbdc786
2026-01-13_off_sen_secondary_sim_sch_grps,t_2026_01_13_off_sen_s_ae101eacb2
2026-01-13_off_sen_secondary_sim_sch_var_vals,t_2026_01_13_off_sen_s_19f2b70939
2223_la_char_data_revised,t_2223_la_char_data_re_951c641f25
2223_subject_pupil_level_la_data_revised,t_2223_subject_pupil_l_a6edee9716
custom_202223_subject_school_pupil_entriesachievements_final,t_custom_202223_subjec_6d3c9ec16a
custom_202324_subject_school_pupil_entriesachievements_final,t_custom_202324_subjec_941996fa46
custom_202325_subject_local_authority_pupil_entriesachievements,t_custom_202325_subjec_373493c71d
custom_202325_subject_national_pupil_entriesachievements_characteristics,t_custom_202325_subjec_9973368c26
custom_202425_subject_school_pupil_entriesachievements_revised,t_custom_202425_subjec_5359f04f61
edubasealldata20260324,t_edubasealldata202603_301c86d488
ees_ks4_inst_202223,t_ees_ks4_inst_202223_cbe11c2768
ees_ks4_la_202223,t_ees_ks4_la_202223_77d7d16802
ees_ks4_nat_202223,t_ees_ks4_nat_202223_6f188ec9e6
england_ks4underlying_entriesandgrades_2,t_england_ks4underlyin_effb560d65
exc_nat_region_la,t_exc_nat_region_la_02f87f3c39
exc_school,t_exc_school_a1c7f527bc
grouplinks_edubaseallacademiesandfree20260324,t_grouplinks_edubaseal_6759364613
