"Range","REF","PropertyName","PropertyDescription","PropertyDescriptionShort","PropertyFilter","PropertyFilterShort","Source","SectorCount","PublicCount","Type","Subtype","Year","YearDesc","File","Field","DataType","DataTypeAlt","RecordFilterBy","Filter","FilterValue","Filter2","Filter2Value","Filter3","Filter3Value","Filter4","Filter4Value","Filter5","Filter5Value","ShouldBeNormalised","NormalisedLookup","CompoundFields","ReturnMultipleRecords","IgnoreMapping"
"England","","RwmExpected_NDi_Cohort_Eng_Current_Num","EnglandPerformance RwmExpected_NDi_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmExpected_NDi_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmExpected_SENEHC_Cohort_Eng_Current_Num","EnglandPerformance RwmExpected_SENEHC_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmExpected_SENEHC_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmExpected_SENSup_Cohort_Eng_Current_Num","EnglandPerformance RwmExpected_SENSup_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmExpected_SENSup_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmExpected_NoSEN_Cohort_Eng_Current_Num","EnglandPerformance RwmExpected_NoSEN_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmExpected_NoSEN_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmExpected_EFL_Cohort_Eng_Current_Num","EnglandPerformance RwmExpected_EFL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmExpected_EFL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmExpected_EAL_Cohort_Eng_Current_Num","EnglandPerformance RwmExpected_EAL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmExpected_EAL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmExpected_NMo_Cohort_Eng_Current_Num","EnglandPerformance RwmExpected_NMo_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmExpected_NMo_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmExpected_Mob_Cohort_Eng_Current_Num","EnglandPerformance RwmExpected_Mob_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmExpected_Mob_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_Tot_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_Tot_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_Tot_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_Boy_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_Boy_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_Boy_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
